review	label	textblob_predicted_label
I saw this film on TV many years ago and I saw this film when I got this on tape. I thought that this was reasonably well done. It was not the best of all movies, but it was good enough. The movie has enough talent to inspire many people, especially younger kids. The acting was good, with Danny Glover leading the cast. The plot line was not very believable, but the script was well written. This movie can also be the interest of avid baseball fans. It does not directly apply to a action-packed sports movie. It directly applies to a nice film that you can watch with your family and learn some messages that are hidden in this film. Overall, the film was good, but not great. I give this a movie a 7/10.	positive	positive
If you had asked me how the movie was throughout the film, I would have told you it was great! However, I left the theatre feeling unsatisfied. After thinking a little about it, I believe the problem was the pace of the ending. I feel that the majority of the movie moved kind of slow, and then the ending developed very fast. So, I would say the ending left me disappointed.<br /><br />I thought that the characters were well developed. Costner and Kutcher both portrayed their roles very well. Yes! Ashton Kutcher can act! Also, the different relationships between the characters seemed very real. Furthermore,I thought that the different plot lines were well developed. Overall, it was a good movie and I would recommend seeing it.<br /><br />In conclusion: Good Characters, Great Plot, Poorly Written/Edited Ending. Still, Go See It!!!	positive	positive
Another one of those films you hear about from friends (...or read about on IMDb). Not many false notes in this one. I could see just about everything here actually happening to a young girl fleeing from a dead-end home town in Tennessee to Florida, with all her worldly possessions in an old beaten-up car.<br /><br />The heroine, Ruby, makes some false starts, but learns from them. I found myself wondering why, why didn't she lean a bit more on Mike's shoulder, but...she has her reasons, as it turns out.<br /><br />Just a fine film. The only thing I don't much like about it, I think, is the title.	positive	positive
I have to admit I had never heard of this movie. I caught it last night on TMC. I thought it was hysterical. I laughed so hard and loved the ending. Image what a Marx brothers movie would like if they collaborated with Salvadore Dali and Malcolmn X and then all dropped LSD.<br /><br />Funny and edgy are two overused words these days, this movie sure has that plus about 200 IQ points of most comedies today and surrealistic to boot. I had to be up at 6:00 am and watched it until 2:30. I over slept and missed my obligations. Still worth it. I would not recommend renting it, I would recommend owning it. It was that good.<br /><br />The only warning I have is that so of the references are dated and might not be gotten by younger people. Bare with it and use your head.<br /><br />I would have to put it in my top comedies of all time.	positive	positive
This is an excellent Anderson production worth comparing with the best episodes of UFO or SPACE 1999 (first series). Of course it isn't some SFX extravaganza or Star Wars pseudo-mystic tripe fest, but a subtle movie that has a slow pace, yet it conveys the creepy, eerie and uncanny atmosphere of the best Anderson productions: for lovers of 'cerebral' sci-fi. Lynn Loring's voice is ABSOLUTELY AWFUL. SFX are good for this kind of product and acting is good as well. Two astronauts visit a planet on the opposite side of the sun but crash land home instead...or do they? Ah, videophones! Every now and then peddled as the next 'everyone's gadget next decade' but still to happen 40 years later. The device of Earth's twin planet on the opposite side of the sun also returns in Gamera tai daiakuju Giron (1969), so who copied whom?	positive	positive
I have no read the novel on which 'The Kite Runner' is based. My wife and daughter, who did, thought the movie fell a long way short of the book, and I'm prepared to take their word for it. But, on its own, the movie is good -- not great but good. How accurately does it portray the havoc created by the Soviet invasion of Afghanistan? How convincingly does it show the intolerant Taliban regime that followed? I'd rate it C+ on the first and B+ on the second. The human story, the Afghan-American who returned to the country to rescue the son of his childhood playmate, is well done but it is on this count particularly that I'm told the book was far more convincing than the movie. The most exciting part of the film, however -- the kite contests in Kabul and, later, a mini-contest in California -- cannot have been equaled by the book. I'd wager money on that.	positive	positive
Why am I so convinced there's actually another film version of this novel out there somewhere? I saw the film again this year as I am teaching the novel and find the changes in the film annoying - there is no appearance of the little boy in the novel and the ending has been changed. They kill him off in the film but the whole point is that he is haunted by the events at Eel Marsh House for many years but does remarry and eventually put the events behind him. Mr. Bentley is a far more sympathetic character in the novel, the scene in the film where Kipps sets fire to the office is plain daft, and the constant appearance of the toy soldier to signify the presence of the child is genuinely creepy but pointless - Kipps is haunted by the woman seeking revenge, not the child. I am sure I've seen a film which is better and closer to the novel and actually scarier. Have I just imagined this?	positive	positive
Perhaps this movie is a little too long, but it still has some charm 45 years later. The main roles seem more appropriate for Clark Gable and Vivien Leigh. I could care less about Gary Cooper, but Ingrid Bergman is fine, particularly in dark hair. The movie is worth seeing for the supporting cast: Flora Robson is terrific as a mulatto servant. She is a white woman in blackface, and can have an expression of evil or of a voodoo mistress. Jerry Austin as a servant dwarf has a delightful role, that keeps you chuckling despite some overlong scenes. Speaking of scenes, Florence Bates steals most of the ones she is in as a dowager social lady. I didn't understand the outcome of the railroad fight at the end of the movie, and the last scene was pure Hollywood dreck. It's an odd feeling when you realize the film title refers to a railroad rather than a piece of luggage!	positive	positive
A vampire prince falls for a human girl, unaware that her brother is a famous vampire hunter. That's the underlying theme of this martial arts romp which borrows ideas from 'Underworld' and 'Buffy The Vampire Slayer' but manages to maintain a style of its own. I was bemused by the UK and Hong Kong title 'The Twins Effect' as there are no twins involved in the story. It turns out that the two main female characters are played by Hong Kong pop stars who perform as 'The Twins'. Don't let this put you off. These girls can act (at least well enough for this type of film) and add a lot of charm to the proceedings. Jackie Chan turns up for a couple of cameo appearances adding a dash of his own brand of slapstick mayhem to the proceedings. All in all this is great fun for those who like their vampires served up with a helping of tongue-in-cheek humour.	positive	positive
Fellowe's drama about a couple's marriage which is threatened by a younger third party which interests the wife of the house (Watson). Wilkinson plays the role very well as the troubled husband who cant control his wife's cheating, and deals with the issue. I also like Rupert everett a lot in his role as William Bule, the man that Watson has the affair with. Although i think Emily Watson is a great actress, i had a bit of a problem with the way her character was written, did not make her too likable (i know a cheater is not supposed to be likable, but some of her actions and things she did had no reasoning behind them). The screenplay was perhaps the weak part of this drama, although Fellowes' direction was good and the performances were also quite good. This film is better than Unfaithful, but not a masterpiece by any means. ---IMDB Rating: 6.7, my rating: 8/10	positive	positive
Finally a true horror movie. This is the first time in years that I had to cover my eyes. I am a horror buff and I recommend this movie but it is quite gory. I am not a big wrestling fan but Kane really pulled the whole monster thing off. I have to admit that I didn't want to see this movie, my 17 year old dragged me to it, but am very glad I did. During and after the movie I was looking over my shoulder. I have to agree with others about the whole remake horror movies enough is enough. I think that is why this movie is getting some good reviews. It is a refreshing change and takes you back to The Texas Chainsaw ( first one), Michael Myers, and Jason. And no CGI crap.	positive	positive
What a movie! It has undeniably entertaining subject matter (unless you're a prude) and a mature, funny, and complex script from Paul Thomas Anderson (Magnolia, Hard Eight). PT Anderson will undoubtably be around for some time. The evidence is here in this epic and ambitious masterpiece. Every character is expertly played and touching and fully-shaped. From Burt Reynolds as Jack Horner (the director) to Julianne Moore (his movie-star) and Mark Whalberg (as Dirk Diggler) they all are fabulous. And the story? WOW! Honest look at business and failure and consequences and family. One of the best movies of all time! i give it a >>>>>>>>>>>>>>>>>>>A+	positive	positive
its been years since i have seen these shows. i have been searching years for anyone else that has seen these or know anything about them. i thought i made them up. the one i remember most is the soldier and death. i'd ask movie fanatics if they had seen these, mentioning its a Jim Henson and people still didn't know. these are great fables. i was very young when i was these, not even 10 and it left a lasting impression on my life and beliefs. i would recommend anyone to watch these, just remember they are from the 80's so they don't look like the movies today. just give them a shot. Jim Henson was way ahead of his time and died to early.	positive	positive
This movie does a great job of explaining the problems that we faced and the fears that we had before we put man into space. As a history of space flight, it is still used today in classrooms that can get one of the rare prints of it. Disney has shown it on 'Vault Disney' and I wish they would do so again.	positive	positive
